"Date Wise Prices for Specified Commodity on December, 2025 for Commodity : Potato, State : Karnataka"
"Commodity : Potato, State : Karnataka"

Arrival Date,Arrivals (Metric Tonnes),Variety,Minimum Price (Rs./Quintal),Maximum Price (Rs./Quintal),Modal Price (Rs./Quintal)
Market Name : Arasikere APMC
11/12/2025,2.0,Local,2600.0,3000.0,2800.0
12/12/2025,2.0,Local,2600.0,3000.0,2800.0
Market Name : T. Narasipura APMC
04/12/2025,0.8,Other,1500.0,2000.0,2000.0
05/12/2025,0.8,Other,1500.0,2000.0,2000.0
15/12/2025,3.0,Other,1300.0,2000.0,2000.0
Market Name : Udupi APMC
02/12/2025,1.4000000000000001,Potato,2200.0,2400.0,2300.0
15/12/2025,4.5,Potato,1700.0,1800.0,1800.0
17/12/2025,18.0,Potato,1400.0,1500.0,1500.0
20/12/2025,6.6000000000000005,Potato,1400.0,1500.0,1500.0
22/12/2025,9.0,Potato,1400.0,1500.0,1500.0
23/12/2025,2.2,Potato,1400.0,1500.0,1500.0
26/12/2025,11.100000000000001,Potato,1500.0,1600.0,1600.0
30/12/2025,2.1,Potato,1500.0,1600.0,1600.0
